Data,Total,1D,2D,3D,4D
Jan-22,"8,734","8,892","8,455","8,958","8,699"
Feb-22,"8,827","9,000","8,563","9,038","8,656"
Mar-22,"8,867","9,063","8,611","9,052","8,662"
Apr-22,"8,948","9,199","8,692","9,089","8,747"
May-22,"9,001","9,274","8,755","9,106","8,845"
Jun-22,"9,098","9,431","8,863","9,154","8,861"
Jul-22,"9,153","9,470","8,964","9,171","8,843"
Aug-22,"9,262","9,606","9,110","9,221","8,868"
Sep-22,"9,346","9,710","9,204","9,281","8,913"
Oct-22,"9,454","9,888","9,293","9,371","8,900"
Nov-22,"9,528","10,023","9,348","9,437","8,868"
Dec-22,"9,606","10,140","9,412","9,512","8,859"
Jan-23,"9,690","10,229","9,493","9,601","8,910"
Feb-23,"9,790","10,392","9,561","9,691","9,020"
Mar-23,"9,907","10,600","9,660","9,754","9,156"
Apr-23,"10,025","10,828","9,750","9,813","9,318"
May-23,"10,106","10,991","9,823","9,835","9,418"
Jun-23,"10,211","11,169","9,911","9,899","9,537"
Jul-23,"10,313","11,346","9,982","9,983","9,632"
